conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on English Literature: Modern and Contemporary Fictions MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on English Literature: Modern and Contemporary Fictions MA:\nCourse title: English Literature: Modern and Contemporary Fictions MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-modern-and-contemporary-fictions-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-modern-and-contemporary-fictions-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Entertainment Law LLM?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Entertainment Law LLM:\nCourse title: Entertainment Law LLM.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£12,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/entertainment-law-llm\nFor Part-time course:\nUK fees: £6,350.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/entertainment-law-llm ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Entrepreneurship, Innovation and Enterprise Development MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Entrepreneurship, Innovation and Enterprise Development MSc:\nCourse title: Entrepreneurship, Innovation and Enterprise Development MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£16,700.\ninternational fees: £19,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/entrepreneurship-innovation-and-enterprise-development-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on European Legal Studies LLB Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on European Legal Studies LLB Honours:\nCourse title: European Legal Studies LLB Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/european-legal-studies-llb-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Event Design and Management MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Event Design and Management MA:\nCourse title: Event Design and Management MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/tourism-and-events-management-courses/2025-26/september/full-time/event-design-and-management-ma\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/tourism-and-events-management-courses/2025-26/september/part-time-day-evening/event-design-and-management-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Expanded Photography MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Expanded Photography MA:\nCourse title: Expanded Photography MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/expanded-photography-ma\nFor Part-time course:\nUK fees: £1,325.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/expanded-photography-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Business Management MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Business Management MA:\nCourse title: Fashion Business Management MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/fashion-courses/2025-26/september/full-time/fashion-business-management-ma', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Business Management with Professional Experience BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Business Management with Professional Experience BA Honours:\nCourse title: Fashion Business Management with Professional Experience BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/fashion-courses/2025-26/september/full-time/fashion-business-management-with-professional-experience-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Design BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Design BA Honours:\nCourse title: Fashion Design BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-courses/2025-26/september/full-time/fashion-design-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Marketing and Promotion BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Marketing and Promotion BA Honours:\nCourse title: Fashion Marketing and Promotion BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-courses/2025-26/september/full-time/fashion-marketing-and-promotion-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Photography BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Photography BA Honours:\nCourse title: Fashion Photography BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-media-and-communication-courses/2025-26/september/full-time/fashion-photography-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 6-7 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-media-and-communication-courses/2025-26/september/part-time-day/fashion-photography-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Fashion Photography with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Fashion Photography with Foundation BA Honours:\nCourse title: Fashion Photography with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-fashion-media-and-communication-courses/2025-26/september/full-time/fashion-photography-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Film BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Film BA Honours:\nCourse title: Film BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/film-and-television-media-and-communication-courses/2025-26/september/full-time/film-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Film, Television and Moving Image MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Film, Television and Moving Image MA:\nCourse title: Film, Television and Moving Image MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/film-and-television-courses/2025-26/september/full-time/film-television-and-moving-image-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/film-and-television-courses/2025-26/september/part-time-day-evening/film-television-and-moving-image-ma ', 'role': 'assistant'}]"
